Site_plot_date,Project,Plot Type,Plot #,Visit (time since outplanting completed),Date
Brewsters_plot_12/10/2020,NFWF,Plot,,Day0,12/10/2020
Brewsters_control_12/10/2020,NFWF,Control,,Day0,12/10/2020
Yungs_control_07/01/2020,MDC,Control,,6mo,07/01/2020
Yungs_plot_07/01/2020,MDC,Plot,12,6mo,07/01/2020
Fowey_plot_07/0/2020,MDC,Plot,,6mo,07/07/2020
Fowey_control_07/07/2020,MDC,Control,,6mo,07/07/2020
Yungs_plot_12_06/01/2021,MDC,Plot,12,2year,06/01/2021
Stephs_plot_19/01/2022,NFWF,Plot,,Day0,19/01/2022
Stephs_control_19/01/2022,NFWF,Control,,Day0,19/01/2022
Graceland_control_17/01/2023,NFWF,Control,,7mo,17/01/2023
Graceland_plot_17/01/2023,NFWF,Plot,P33,7mo,17/01/2023
Brewsters_plot_03/05/2023,NFWF,Plot,,1year,03/05/2023
Brewsters_control_03/05/2023,NFWF,Control,,1year,03/05/2023
SMC_plot_10/05/2023,NFWF,Plot,,Day0,10/05/2023
SMC_control_10/05/2023,NFWF,Control,,Day0,10/05/2023
Yungs_plot_11_06/01/2021,MDC,Plot,11,2year,06/01/2021
RCCL_plot_11/08/2021,NFWF,Plot,P74,1mo,11/08/2021
RCCL_control_11/08/2021,NFWF,Control,,1mo,11/08/2021
RCCL_plot_22/01/2022,NFWF,Plot,,6mo,22/01/2022
Fowey_plot_10/02/2022,NFWF,Plot,P88,7mo,10/02/2022
Yungs_plot_10/02/2022,NFWF,Plot,P67,13mo,10/02/2022
Paradise_plot_15/04/2021,NFWF,Plot,P96,1mo,15/04/2021
Paradise_control_15/04/2021,NFWF,Control,,1mo,15/04/2021
MB_plot_06/10/2021,NFWF,Plot,,6mo,06/10/2021
MB_control_06/10/2021,NFWF,Control,,6mo,06/10/2021
Valentine_control_25/08/2022,NFWF,Control,,,25/08/2022
Valentine_plot_25/08/2022,NFWF,Plot,,,25/08/2022
Paradise_control_31/08/2022,NOAA,Control,,4years,31/08/2022
Paradise_plot_31/08/2022,NOAA,Plot,P98,4years,31/08/2022
Yungs_control_23/08/2022,NFWF,Control,,,23/08/2022
Yungs_plot_23/08/2022,NFWF,Plot,,,23/08/2022
SMC_control_31/05/2023,NFWF,Control,,1mo,31/05/2023
SMC_plot_31/05/2023,NFWF,Plot,,1mo,31/05/2023
Safety_valve_plot_31/05/2023,NFWF,Plot,P22,11mo,31/05/2023
Safety_valve_control_31/05/2023,NFWF,Control,,11mo,31/05/2023
Flamingo_plot_27/07/2018,NOAA,Plot,P91,,27/07/2018
Flamingo_control_27/07/2018,NOAA,Control,,,27/07/2018
Flamingo_plot_06/11/2018,NOAA,Plot,P91,,06/11/2018
Flamingo_plot_08/02/2019,NOAA,Plot,P90,,08/02/2019
Flamingo_control_08/02/2019,NOAA,Control,,,08/02/2019
Fowey_plot_10/08/2018,NOAA,Plot,P78,,10/08/2018
