Site,Site_plot_date,Project,Plot Type,Plot #,Visit (time since outplanting completed),Date,Family,Species,# Fish,Avg Size,Min Size,Max Size
Brewsters,Brewsters_control_12/10/2020,NFWF,Control,,Day0,12/10/2020,Angelfish,Gray,,,,
Brewsters,Brewsters_control_12/10/2020,NFWF,Control,,Day0,12/10/2020,Angelfish,RockBeauty,1,12,12,12
Brewsters,Brewsters_control_12/10/2020,NFWF,Control,,Day0,12/10/2020,Angelfish,French,1,30,30,30
Brewsters,Brewsters_control_12/10/2020,NFWF,Control,,Day0,12/10/2020,Angelfish,Queen,,,,
Brewsters,Brewsters_control_12/10/2020,NFWF,Control,,Day0,12/10/2020,Barracuda,Great,,,,
Brewsters,Brewsters_control_12/10/2020,NFWF,Control,,Day0,12/10/2020,Bass,Harlequin,,,,
Brewsters,Brewsters_control_12/10/2020,NFWF,Control,,Day0,12/10/2020,Blenny,Barfin,,,,
Brewsters,Brewsters_control_12/10/2020,NFWF,Control,,Day0,12/10/2020,Blenny,Blenny,,,,
Brewsters,Brewsters_control_12/10/2020,NFWF,Control,,Day0,12/10/2020,Boxfish,SpottedTrunkfish,1,17,17,17
Brewsters,Brewsters_control_12/10/2020,NFWF,Control,,Day0,12/10/2020,Boxfish,ScrawledCowfish,,,,
Brewsters,Brewsters_control_12/10/2020,NFWF,Control,,Day0,12/10/2020,Boxfish,SmoothTrunkfish,,,,
Brewsters,Brewsters_control_12/10/2020,NFWF,Control,,Day0,12/10/2020,Butterflyfish,Banded,2,15,15,15
Brewsters,Brewsters_control_12/10/2020,NFWF,Control,,Day0,12/10/2020,Butterflyfish,Foureye,,,,
Brewsters,Brewsters_control_12/10/2020,NFWF,Control,,Day0,12/10/2020,Butterflyfish,Reef,,,,
Brewsters,Brewsters_control_12/10/2020,NFWF,Control,,Day0,12/10/2020,Butterflyfish,Spotfin,,,,
Brewsters,Brewsters_control_12/10/2020,NFWF,Control,,Day0,12/10/2020,Cardinalfish,BigEye,,,,
Brewsters,Brewsters_control_12/10/2020,NFWF,Control,,Day0,12/10/2020,Chromis,Blue,,,,
Brewsters,Brewsters_control_12/10/2020,NFWF,Control,,Day0,12/10/2020,Chromis,Brown,,,,
Brewsters,Brewsters_control_12/10/2020,NFWF,Control,,Day0,12/10/2020,Chub,Chub,,,,
Brewsters,Brewsters_control_12/10/2020,NFWF,Control,,Day0,12/10/2020,Damselfish,Threespot,,,,
Brewsters,Brewsters_control_12/10/2020,NFWF,Control,,Day0,12/10/2020,Damselfish,Bicolor,7,5,4,5
Brewsters,Brewsters_control_12/10/2020,NFWF,Control,,Day0,12/10/2020,Damselfish,Yellowtail,,,,
Brewsters,Brewsters_control_12/10/2020,NFWF,Control,,Day0,12/10/2020,Damselfish,Longfin,,,,
